% x,y,Description (optional)
0,-1,South Wall
1,-1,
2,-1,
3,-1,
4,-1,
5,-1,
6,-1,
7,-1,
8,-1,
9,-1,
10,-1,
11,-1,
12,-1,
13,-1,
14,-1,
15,-1,
16,-1,
17,-1,
18,-1,
19,-1,
20,-1,
0,0,West Wall
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
1,20,North Wall
2,20,
3,20,
4,20,
5,20,
6,20,
7,20,
8,20,
9,20,
10,20,
11,20,
12,20,
13,20,
14,20,
15,20,
16,20,
17,20,
18,20,
19,20,
20,20,
20,0,East Wall
20,1,
20,2,
20,3,
20,4,
20,5,
20,6,
20,7,
20,8,
20,9,
20,10,
20,11,
20,12,
20,13,
20,16,
20,17,
20,18,
20,19,
20,20,
6,12,
2,13,
4,14,
16,15,
10,16,
10,12,
12,12,
6,12,
4,12,
8,12,
8,12,
12,12,
12,12,
6,12,
0,12,
4,11,
14,10,
4,9,
16,8,
18,7,
10,6,
2,19,
10,18,
18,17,
14,16,
6,16,
2,16,
2,15,
12,14,
10,13,
18,12,
6,11,
12,10,
14,9,
6,8,
4,7,
0,6,
0,16,
4,15,
18,14,
4,13,
18,12,
14,11,
18,10,
10,9,
0,8,
16,7,
4,6,
14,16,
14,16,
18,16,
16,16,
12,16,
2,16,
6,10,
4,10,
12,10,
12,10,
16,6,
2,6,
2,9,
4,9,
14,9,
4,9,
12,9,
8,9,
8,8,
6,7,
8,6,
0,0,
14,1,
18,2,
12,3,
0,4,
4,5,
0,6,
0,3,
16,3,
18,3,
0,3,
2,3,
12,3,
4,3,
2,3,
12,3,
2,3,
6,2,
12,1,
12,0,
16,14,
17,14,
